,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
this October,this October,DATE,,,en,1,,,,,,
the days,the days,DATE,,,en,1,,,,,,
"8,000","8,000",CARDINAL,,,en,1,,,,,,
several hours,several hours,TIME,,,en,1,,,,,,
46,46,CARDINAL,,,en,1,,,,,,
Halloween only days,Halloween only days,DATE,,,en,1,,,,,,
+6411 chars,+6411 chars,WORK_OF_ART,,,en,1,,,,,,
Australians,Australians,NORP,,,en,1,,,,,,
+34376 chars,+34376 chars,WORK_OF_ART,,,en,1,,,,,,
USD 128.26 billion,USD 128.26 billion,MONEY,,,en,1,,,,,,
Nov. 03,Nov. 03,DATE,,,en,1,,,,,,
5.76%,5.76%,PERCENT,,,en,1,,,,,,
USD 135.65 billion,USD 135.65 billion,MONEY,,,en,1,,,,,,
the very first evening,the very first evening,TIME,,,en,1,,,,,,
The Lone Horseman,The Lone Horseman,WORK_OF_ART,,,en,1,,,,,,
the Siena Awards,the Siena Awards,EVENT,,,en,1,,,,,,
"Drone Photo Awards Explore the Beauty of the World Above
","Drone Photo Awards Explore the Beauty of the World Above
",EVENT,,,en,1,,,,,,
Drone Photo Awards Explore the Beauty of the World Above,Drone Photo Awards Explore the Beauty of the World Above,EVENT,,,en,1,,,,,,
November of 2019,November of 2019,DATE,,,en,1,,,,,,
November 3,November 3,DATE,,,en,1,,,,,,
"November 3, 2025","November 3, 2025",DATE,,,en,1,,,,,,
Afghan,Afghan,NORP,,,en,1,,,,,,
17 miles,17 miles,QUANTITY,,,en,1,,,,,,
28 kilometers,28 kilometers,QUANTITY,,,en,1,,,,,,
August,August,DATE,,,en,1,,,,,,
less than three months,less than three months,DATE,,,en,1,,,,,,
"The Wonderland of Software
","The Wonderland of Software
",WORK_OF_ART,,,en,1,,,,,,
recent weeks,recent weeks,DATE,,,en,1,,,,,,
3 PM,3 PM,TIME,,,en,1,,,,,,
At least 9,At least 9,CARDINAL,,,en,1,,,,,,
two years,two years,DATE,,,en,1,,,,,,
28 kilometres,28 kilometres,QUANTITY,,,en,1,,,,,,
131,131,CARDINAL,,,en,1,,,,,,
Easter,Easter,EVENT,,,en,1,,,,,,
The Langtang Ecosystem,The Langtang Ecosystem,FAC,,,en,1,,,,,,
11/5/2025,11/5/2025,CARDINAL,,,en,1,,,,,,
"Jan. 24, 2024","Jan. 24, 2024",DATE,,,en,1,,,,,,
About half,About half,CARDINAL,,,en,1,,,,,,
nine,nine,CARDINAL,,,en,1,,,,,,
@sportsvoice29,@sportsvoice29,WORK_OF_ART,,,en,1,,,,,,
over 40 days,over 40 days,DATE,,,en,1,,,,,,
+40763 chars,+40763 chars,WORK_OF_ART,,,en,1,,,,,,
+8214,+8214,NORP,,,en,1,,,,,,
2025Architecture,2025Architecture,CARDINAL,,,en,1,,,,,,
2.7-million-year-old,2.7-million-year-old,DATE,,,en,1,,,,,,
Zionists,Zionists,NORP,,,en,1,,,,,,
Covid,Covid,NORP,,,en,1,,,,,,
+6200,+6200,NORP,,,en,1,,,,,,
80 kilometers,80 kilometers,QUANTITY,,,en,1,,,,,,
3D-PAWS,3D-PAWS,PRODUCT,,,en,1,,,,,,
11 p.m.,11 p.m.,TIME,,,en,1,,,,,,
at least 64,at least 64,CARDINAL,,,en,1,,,,,,
At least seven,At least seven,CARDINAL,,,en,1,,,,,,
Muhammad Ali International Airport,Muhammad Ali International Airport,FAC,,,en,1,,,,,,
at least 7,at least 7,CARDINAL,,,en,1,,,,,,
more than a year,more than a year,DATE,,,en,1,,,,,,
four per cent,four per cent,MONEY,,,en,1,,,,,,
10:01 AM,10:01 AM,TIME,,,en,1,,,,,,
"Monday, 03 November 2025","Monday, 03 November 2025",DATE,,,en,1,,,,,,
50 miles,50 miles,QUANTITY,,,en,1,,,,,,
Hindu,Hindu,NORP,,,en,1,,,,,,
"more than 2,200","more than 2,200",CARDINAL,,,en,1,,,,,,
less than six month,less than six month,DATE,,,en,1,,,,,,
Women’s World Cup 2025,Women’s World Cup 2025,EVENT,,,en,1,,,,,,
Ten,Ten,CARDINAL,,,en,1,,,,,,
One hundred years ago,One hundred years ago,DATE,,,en,1,,,,,,
the 1920s,the 1920s,DATE,,,en,1,,,,,,
2013,2013,DATE,,,en,1,,,,,,
30 October 2025,30 October 2025,DATE,,,en,1,,,,,,
hourly,hourly,TIME,,,en,1,,,,,,
Hourly Precipitation Intensities,Hourly Precipitation Intensities,WORK_OF_ART,,,en,1,,,,,,
#43 2025,#43 2025,MONEY,,,en,1,,,,,,
Week,Week,DATE,,,en,1,,,,,,
+8350 chars,+8350 chars,WORK_OF_ART,,,en,1,,,,,,
+1526 chars,+1526 chars,WORK_OF_ART,,,en,1,,,,,,
Victory,Victory,WORK_OF_ART,,,en,1,,,,,,
47,47,CARDINAL,,,en,1,,,,,,
2025-26,2025-26,DATE,,,en,1,,,,,,
one week,one week,DATE,,,en,1,,,,,,
07:00 AM,07:00 AM,TIME,,,en,1,,,,,,
"Oct 29, 2025","Oct 29, 2025",DATE,,,en,1,,,,,,
the first days,the first days,DATE,,,en,1,,,,,,
the first week,the first week,DATE,,,en,1,,,,,,
[+45746 chars,[+45746 chars,WORK_OF_ART,,,en,1,,,,,,
2018,2018,DATE,,,en,1,,,,,,
4839,4839,CARDINAL,,,en,1,,,,,,
the end of the 21st century,the end of the 21st century,DATE,,,en,1,,,,,,
seasons,seasons,DATE,,,en,1,,,,,,
Hairfall,Hairfall,WORK_OF_ART,,,en,1,,,,,,
Hearst Magazines,Hearst Magazines,WORK_OF_ART,,,en,1,,,,,,
28km,28km,QUANTITY,,,en,1,,,,,,
"Nov 02, 2025","Nov 02, 2025",DATE,,,en,1,,,,,,
"over 2,200","over 2,200",CARDINAL,,,en,1,,,,,,
age 13,age 13,DATE,,,en,1,,,,,,
2025s,2025s,DATE,,,en,1,,,,,,
Art In Nature,Art In Nature,WORK_OF_ART,,,en,1,,,,,,
100 percent,100 percent,PERCENT,,,en,1,,,,,,
53,53,CARDINAL,,,en,1,,,,,,
The Great Gardening of 2025,The Great Gardening of 2025,EVENT,,,en,1,,,,,,
11/02/2025 5:15:49 AM PST,11/02/2025 5:15:49 AM PST,TIME,,,en,1,,,,,,
nearly a year ago,nearly a year ago,DATE,,,en,1,,,,,,
vineyards,vineyards,NORP,,,en,1,,,,,,
Italian,Italian,NORP,,,en,1,,,,,,
Mexican,Mexican,NORP,,,en,1,,,,,,
+7054,+7054,NORP,,,en,1,,,,,,
The Day of the,The Day of the,DATE,,,en,1,,,,,,
each year after Halloween,each year after Halloween,DATE,,,en,1,,,,,,
More than 1 billion pounds,More than 1 billion pounds,MONEY,,,en,1,,,,,,
the upcoming season,the upcoming season,DATE,,,en,1,,,,,,
This months,This months,DATE,,,en,1,,,,,,
Once a month,Once a month,DATE,,,en,1,,,,,,
Lightspeed,Lightspeed,PRODUCT,,,en,1,,,,,,
+43550 chars,+43550 chars,WORK_OF_ART,,,en,1,,,,,,
spring,spring,DATE,,,en,1,,,,,,
Foldables,Foldables,PRODUCT,,,en,1,,,,,,
Pixel 10 Pro Fold,Pixel 10 Pro Fold,PRODUCT,,,en,1,,,,,,
Israeli,Israeli,NORP,,,en,1,,,,,,
